استان,ایستگاه ,CO,O3,NO2,SO2,PM10,PM2.5,شاخص,تاریخ و ساعت
تهران,علم و صنعت,32.0,45.0,49.0,24.0,53.0,73.0,73,1396/06/25 11:00:00
تهران,سلامت,73.0,84.0,108.0,26.0,63.0,105.0,105,1396/06/25 11:00:00
تهران,پاسداران,33.0,48.0,52.0,20.0,67.0,93.0,93,1396/06/25 11:00:00
تهران,سرخه حصار,19.0,11.0,,38.0,47.0,32.0,38,1396/06/25 11:00:00
تهران,چشمه,24.0,50.0,44.0,25.0,60.0,86.0,86,1396/06/25 11:00:00
تهران,آتی ساز,29.0,26.0,76.0,6.0,52.0,72.0,72,1396/06/25 11:00:00
تهران,ژئو فیزیک,34.0,42.0,44.0,21.0,58.0,73.0,73,1396/06/25 11:00:00
تهران,فرمانداری شهرری,38.0,65.0,47.0,22.0,112.0,152.0,152,1396/06/25 11:00:00
تهران,قائم,35.0,64.0,82.0,16.0,79.0,130.0,130,1396/06/25 11:00:00
تهران,دانشگاه شهید بهشتی,22.0,40.0,69.0,19.0,29.0,57.0,57,1396/06/25 11:00:00
تهران,پیشوا,27.0,35.0,32.0,23.0,53.0,63.0,63,1396/06/25 11:00:00
تهران,دانشگاه تهران,76.0,48.0,45.0,18.0,68.0,57.0,76,1396/06/25 11:00:00
تهران,منطقه 15,51.0,53.0,26.0,25.0,97.0,106.0,106,1396/06/25 11:00:00
تهران,پارک رازی,54.0,60.0,43.0,32.0,73.0,86.0,86,1396/06/25 11:00:00
تهران,اسلام شهر,25.0,40.0,36.0,20.0,66.0,85.0,85,1396/06/25 11:00:00
تهران,منطقه 15,76.0,74.0,75.0,18.0,98.0,124.0,124,1396/06/26 11:00:00
تهران,سلامت,47.0,80.0,108.0,29.0,50.0,106.0,106,1396/06/26 11:00:00
تهران,پاسداران,33.0,56.0,64.0,19.0,76.0,114.0,114,1396/06/26 11:00:00
تهران,اسلام شهر,23.0,61.0,43.0,18.0,45.0,65.0,65,1396/06/26 11:00:00
تهران,سرخه حصار,19.0,10.0,1.0,29.0,50.0,40.0,29,1396/06/26 11:00:00
تهران,آتی ساز,31.0,32.0,98.0,1.0,57.0,82.0,82,1396/06/26 11:00:00
تهران,ژئو فیزیک,36.0,52.0,69.0,18.0,61.0,93.0,93,1396/06/26 11:00:00
تهران,فرمانداری شهرری,23.0,38.0,41.0,21.0,55.0,74.0,74,1396/06/26 11:00:00
تهران,دانشگاه شهید بهشتی,44.0,60.0,103.0,21.0,27.0,66.0,66,1396/06/26 11:00:00
تهران,قائم,33.0,57.0,68.0,18.0,77.0,118.0,118,1396/06/26 11:00:00
تهران,دانشگاه تهران,56.0,44.0,44.0,18.0,66.0,67.0,67,1396/06/26 11:00:00
تهران,پیشوا,24.0,43.0,42.0,21.0,67.0,92.0,92,1396/06/26 11:00:00
تهران,علم و صنعت,22.0,53.0,76.0,26.0,37.0,78.0,78,1396/06/26 11:00:00
تهران,تهران - پارک شکوفه,12.0,40.0,38.0,23.0,57.0,85.0,40,1396/06/26 11:00:00
تهران,پارک رازی,42.0,62.0,57.0,31.0,64.0,92.0,92,1396/06/26 11:00:00
تهران,چشمه,25.0,29.0,46.0,12.0,80.0,106.0,106,1396/06/26 11:00:00
تهران,سرخه حصار,19.0,10.0,5.0,26.0,51.0,43.0,26,1396/06/27 11:00:00
تهران,علم و صنعت,24.0,48.0,58.0,26.0,45.0,75.0,75,1396/06/27 11:00:00
تهران,سلامت,39.0,74.0,105.0,29.0,40.0,95.0,95,1396/06/27 11:00:00
تهران,اسلام شهر,20.0,33.0,38.0,20.0,20.0,70.0,70,1396/06/27 11:00:00
تهران,پیشوا,18.0,38.0,37.0,22.0,60.0,83.0,83,1396/06/27 11:00:00
تهران,چشمه,23.0,42.0,42.0,19.0,76.0,104.0,104,1396/06/27 11:00:00
تهران,آتی ساز,27.0,28.0,91.0,2.0,56.0,73.0,73,1396/06/27 11:00:00
تهران,ژئو فیزیک,28.0,42.0,42.0,21.0,63.0,83.0,83,1396/06/27 11:00:00
تهران,قائم,36.0,61.0,80.0,16.0,75.0,122.0,122,1396/06/27 11:00:00
تهران,فرمانداری شهرری,32.0,39.0,41.0,21.0,54.0,67.0,67,1396/06/27 11:00:00
تهران,دانشگاه شهید بهشتی,24.0,45.0,88.0,22.0,9.0,43.0,43,1396/06/27 11:00:00
تهران,پردیس,23.0,26.0,16.0,25.0,43.0,39.0,39,1396/06/27 11:00:00
تهران,منطقه 15,56.0,62.0,59.0,20.0,87.0,111.0,111,1396/06/27 11:00:00
تهران,دانشگاه تهران,22.0,29.0,34.0,17.0,51.0,62.0,62,1396/06/27 11:00:00
تهران,پارک رازی,41.0,59.0,45.0,33.0,67.0,89.0,89,1396/06/27 11:00:00
تهران,پاسداران,31.0,51.0,53.0,20.0,74.0,105.0,105,1396/06/27 11:00:00
تهران,منطقه 15,49.0,54.0,56.0,20.0,74.0,94.0,94,1396/06/28 11:00:00
تهران,علم و صنعت,31.0,50.0,51.0,27.0,56.0,81.0,81,1396/06/28 11:00:00
تهران,سلامت,64.0,85.0,109.0,29.0,59.0,108.0,108,1396/06/28 11:00:00
تهران,پاسداران,33.0,52.0,58.0,19.0,72.0,105.0,105,1396/06/28 11:00:00
تهران,پیشوا,18.0,35.0,33.0,22.0,55.0,72.0,72,1396/06/28 11:00:00
تهران,چشمه,26.0,34.0,42.0,18.0,63.0,82.0,82,1396/06/28 11:00:00
تهران,آتی ساز,31.0,26.0,80.0,4.0,55.0,72.0,72,1396/06/28 11:00:00
تهران,ژئو فیزیک,41.0,45.0,42.0,22.0,66.0,78.0,78,1396/06/28 11:00:00
تهران,فرمانداری شهرری,35.0,56.0,41.0,22.0,95.0,126.0,126,1396/06/28 11:00:00
تهران,قائم,42.0,66.0,97.0,14.0,69.0,121.0,121,1396/06/28 11:00:00
تهران,دانشگاه شهید بهشتی,19.0,37.0,73.0,20.0,15.0,42.0,42,1396/06/28 11:00:00
تهران,دانشگاه تهران,46.0,43.0,38.0,22.0,62.0,66.0,66,1396/06/28 11:00:00
تهران,پردیس,26.0,24.0,16.0,21.0,66.0,67.0,67,1396/06/28 11:00:00
تهران,پارک رازی,47.0,56.0,47.0,28.0,68.0,85.0,85,1396/06/28 11:00:00
تهران,سرخه حصار,19.0,10.0,,34.0,48.0,35.0,34,1396/06/28 11:00:00
تهران,اسلام شهر,19.0,39.0,39.0,26.0,8.0,86.0,86,1396/06/28 11:00:00
تهران,سرخه حصار,20.0,10.0,,31.0,49.0,37.0,31,1396/06/29 11:00:00
تهران,علم و صنعت,25.0,53.0,62.0,29.0,45.0,78.0,78,1396/06/29 11:00:00
تهران,سلامت,55.0,81.0,111.0,30.0,46.0,97.0,97,1396/06/29 11:00:00
تهران,اسلام شهر,20.0,38.0,44.0,28.0,62.0,91.0,91,1396/06/29 11:00:00
تهران,پیشوا,22.0,36.0,34.0,22.0,56.0,72.0,72,1396/06/29 11:00:00
تهران,چشمه,23.0,42.0,44.0,21.0,62.0,87.0,87,1396/06/29 11:00:00
تهران,آتی ساز,27.0,34.0,100.0,2.0,56.0,73.0,73,1396/06/29 11:00:00
تهران,ژئو فیزیک,46.0,46.0,50.0,21.0,60.0,71.0,71,1396/06/29 11:00:00
تهران,فرمانداری شهرری,28.0,52.0,44.0,21.0,86.0,119.0,119,1396/06/29 11:00:00
تهران,قائم,43.0,70.0,106.0,13.0,73.0,132.0,132,1396/06/29 11:00:00
تهران,دانشگاه شهید بهشتی,22.0,46.0,89.0,22.0,11.0,48.0,48,1396/06/29 11:00:00
تهران,پردیس,28.0,35.0,22.0,25.0,53.0,56.0,56,1396/06/29 11:00:00
تهران,منطقه 15,47.0,59.0,93.0,14.0,55.0,94.0,94,1396/06/29 11:00:00
تهران,دانشگاه تهران,51.0,47.0,44.0,20.0,70.0,78.0,51,1396/06/29 11:00:00
تهران,پارک رازی,45.0,63.0,55.0,35.0,59.0,83.0,83,1396/06/29 11:00:00
تهران,پاسداران,35.0,54.0,66.0,18.0,69.0,104.0,104,1396/06/29 11:00:00
تهران,سلامت,80.0,89.0,112.0,30.0,58.0,98.0,98,1396/06/30 11:00:00
تهران,پردیس,27.0,34.0,20.0,26.0,49.0,49.0,49,1396/06/30 11:00:00
تهران,پاسداران,36.0,55.0,68.0,18.0,70.0,107.0,107,1396/06/30 11:00:00
تهران,اسلام شهر,21.0,41.0,44.0,29.0,62.0,91.0,91,1396/06/30 11:00:00
تهران,سرخه حصار,20.0,11.0,,45.0,45.0,24.0,45,1396/06/30 11:00:00
تهران,آتی ساز,30.0,36.0,96.0,3.0,57.0,81.0,81,1396/06/30 11:00:00
تهران,ژئو فیزیک,47.0,49.0,57.0,20.0,59.0,74.0,74,1396/06/30 11:00:00
تهران,فرمانداری شهرری,15.0,40.0,45.0,20.0,58.0,87.0,87,1396/06/30 11:00:00
تهران,دانشگاه شهید بهشتی,23.0,52.0,102.0,24.0,6.0,50.0,50,1396/06/30 11:00:00
تهران,قائم,44.0,70.0,109.0,12.0,70.0,129.0,129,1396/06/30 11:00:00
تهران,دانشگاه تهران,65.0,48.0,41.0,22.0,66.0,60.0,65,1396/06/30 11:00:00
تهران,پیشوا,24.0,36.0,34.0,22.0,56.0,70.0,70,1396/06/30 11:00:00
تهران,منطقه 15,50.0,59.0,77.0,17.0,67.0,98.0,98,1396/06/30 11:00:00
تهران,علم و صنعت,39.0,56.0,67.0,28.0,46.0,74.0,74,1396/06/30 11:00:00
تهران,چشمه,25.0,44.0,49.0,20.0,67.0,96.0,96,1396/06/30 11:00:00
تهران,سلامت,114.0,110.0,117.0,37.0,78.0,110.0,114,1396/06/31 11:00:00
تهران,پارک رازی,80.0,79.0,59.0,38.0,77.0,89.0,89,1396/06/31 11:00:00
تهران,اسلام شهر,21.0,44.0,59.0,28.0,54.0,90.0,90,1396/06/31 11:00:00
تهران,پاسداران,34.0,54.0,62.0,19.0,72.0,106.0,106,1396/06/31 11:00:00
تهران,پیشوا,37.0,40.0,36.0,22.0,59.0,67.0,67,1396/06/31 11:00:00
تهران,آتی ساز,31.0,35.0,102.0,2.0,53.0,71.0,71,1396/06/31 11:00:00
تهران,ژئو فیزیک,43.0,48.0,52.0,20.0,62.0,78.0,78,1396/06/31 11:00:00
تهران,فرمانداری شهرری,17.0,62.0,45.0,21.0,113.0,168.0,168,1396/06/31 11:00:00
تهران,قائم,44.0,70.0,109.0,12.0,71.0,130.0,130,1396/06/31 11:00:00
تهران,دانشگاه شهید بهشتی,23.0,53.0,102.0,26.0,3.0,47.0,47,1396/06/31 11:00:00
تهران,پردیس,26.0,35.0,18.0,27.0,49.0,50.0,50,1396/06/31 11:00:00
تهران,منطقه 15,58.0,61.0,67.0,19.0,79.0,103.0,103,1396/06/31 11:00:00
تهران,دانشگاه تهران,50.0,45.0,39.0,23.0,64.0,67.0,67,1396/06/31 11:00:00
تهران,علم و صنعت,41.0,59.0,69.0,28.0,51.0,81.0,81,1396/06/31 11:00:00
تهران,چشمه,31.0,49.0,50.0,20.0,73.0,101.0,101,1396/06/31 11:00:00
آذربایجان غربی,بوکان,18.0,64.0,11.0,68.0,75.0,72.0,75,1396/06/01 11:00:00
آذربایجان غربی,بوکان,20.0,67.0,12.0,65.0,85.0,87.0,87,1396/06/02 11:00:00
آذربایجان غربی,بوکان,18.0,65.0,11.0,64.0,81.0,86.0,86,1396/06/03 11:00:00
آذربایجان غربی,بوکان,24.0,55.0,7.0,55.0,87.0,77.0,87,1396/06/04 11:00:00
آذربایجان غربی,بوکان,2.0,38.0,7.0,48.0,81.0,66.0,81,1396/06/05 11:00:00
آذربایجان غربی,بوکان,1.0,44.0,6.0,57.0,62.0,56.0,62,1396/06/06 11:00:00
آذربایجان غربی,بوکان,15.0,62.0,7.0,68.0,78.0,73.0,78,1396/06/08 11:00:00
آذربایجان غربی,بوکان,17.0,68.0,7.0,67.0,84.0,92.0,92,1396/06/09 11:00:00
آذربایجان غربی,بوکان,23.0,83.0,7.0,64.0,77.0,129.0,129,1396/06/10 11:00:00
آذربایجان غربی,بوکان,14.0,58.0,7.0,60.0,70.0,76.0,76,1396/06/11 11:00:00
آذربایجان غربی,بوکان,15.0,64.0,7.0,67.0,83.0,83.0,83,1396/06/12 11:00:00
آذربایجان غربی,بوکان,8.0,49.0,7.0,58.0,72.0,65.0,72,1396/06/13 11:00:00
آذربایجان غربی,بوکان,11.0,56.0,7.0,62.0,81.0,74.0,81,1396/06/14 11:00:00
آذربایجان غربی,بوکان,8.0,55.0,7.0,63.0,82.0,74.0,82,1396/06/15 11:00:00
آذربایجان غربی,بوکان,55.0,70.0,7.0,60.0,126.0,93.0,126,1396/06/16 11:00:00
آذربایجان غربی,بوکان,70.0,85.0,7.0,69.0,127.0,99.0,127,1396/06/17 11:00:00
آذربایجان غربی,بوکان,65.0,77.0,7.0,65.0,90.0,75.0,90,1396/06/20 11:00:00
آذربایجان غربی,بوکان,57.0,74.0,7.0,64.0,83.0,73.0,83,1396/06/21 11:00:00
آذربایجان غربی,بوکان,55.0,75.0,7.0,64.0,94.0,82.0,94,1396/06/22 11:00:00
آذربایجان غربی,بوکان,54.0,74.0,7.0,62.0,88.0,83.0,88,1396/06/23 11:00:00
آذربایجان غربی,بوکان,49.0,73.0,7.0,62.0,100.0,92.0,100,1396/06/24 11:00:00
آذربایجان غربی,بوکان,50.0,74.0,7.0,59.0,93.0,95.0,95,1396/06/25 11:00:00
آذربایجان غربی,بوکان,52.0,75.0,7.0,67.0,101.0,83.0,101,1396/06/26 11:00:00
آذربایجان غربی,بوکان,20.0,69.0,7.0,54.0,93.0,125.0,125,1396/06/27 11:00:00
آذربایجان غربی,بوکان,44.0,39.0,7.0,25.0,97.0,86.0,97,1396/06/29 11:00:00
آذربایجان غربی,بوکان,32.0,64.0,7.0,62.0,121.0,93.0,121,1396/06/31 11:00:00
یزد,میبد,31.0,47.0,46.0,21.0,71.0,96.0,96,1396/06/02 11:00:00
یزد,میبد,30.0,50.0,48.0,21.0,75.0,104.0,104,1396/06/03 11:00:00
یزد,میبد,34.0,35.0,30.0,23.0,51.0,53.0,53,1396/06/04 11:00:00
یزد,میبد,35.0,31.0,25.0,24.0,45.0,40.0,40,1396/06/05 11:00:00
یزد,میبد,34.0,33.0,28.0,23.0,48.0,47.0,47,1396/06/06 11:00:00
یزد,میبد,34.0,33.0,28.0,23.0,49.0,48.0,48,1396/06/07 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/08 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/09 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/10 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/11 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/12 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/13 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/14 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/15 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/16 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/17 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/18 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/19 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/20 11:00:00
یزد,اردکان,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/20 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/21 11:00:00
یزد,اردکان,36.0,26.0,20.0,24.0,38.0,25.0,25,1396/06/21 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/22 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/23 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/24 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/24 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/26 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/27 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/28 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/29 11:00:00
یزد,مهریز,35.0,44.0,39.0,22.0,70.0,85.0,70,1396/06/29 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/30 11:00:00
یزد,مهریز,35.0,44.0,39.0,22.0,69.0,84.0,69,1396/06/30 11:00:00
یزد,یزد - میدان صنعت,19.0,3.0,50.0,3.0,9.0,16.0,19,1396/06/30 11:00:00
یزد,میبد,34.0,34.0,30.0,23.0,51.0,52.0,52,1396/06/31 11:00:00
یزد,مهریز,36.0,45.0,39.0,22.0,71.0,86.0,71,1396/06/31 11:00:00
